N,REPETICAO,RUNTIME
1024,1,0.173114
1024,2,0.131500
1024,3,0.130504
1024,4,0.137621
1024,5,0.137713
2048,1,0.544294
2048,2,0.515432
2048,3,0.524695
2048,4,0.536915
2048,5,0.551621
4096,1,2.151470
4096,2,2.041619
4096,3,2.029143
4096,4,2.048214
4096,5,1.970658
25000,1,76.495697
25000,2,78.067833
25000,3,75.280426
25000,4,76.840118
25000,5,77.653900
50000,1,311.663422
50000,2,302.445557
50000,3,303.196503
50000,4,306.147797
50000,5,312.600861
100000,1,1235.240112
100000,2,1239.043579
100000,3,1245.142822
100000,4,1185.945679
100000,5,1177.847046
